DiaChi,TinhTrangBDS,DienTich,Gia/m2,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Gia
"Đường Trần Nhân Tôn, Phường 9, Quận 5, Tp Hồ Chí Minh", Đã bàn giao, 45 m²," 51,11 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Nam, Đông,,"2,3 tỷ- 45 m2đ"
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 72 m²," 28,54 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"2,055 tỷ- 72 m2đ"
"The Pegasuite, Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 68 m²," 47,06 triệu/m²", 2 phòng, B1,27, 2 phòng, Chung cư, Đang chờ sổ,32, Nội thất cao cấp,,,,"3,2 tỷ- 68 m2đ"
"Số 2225, Số 2225 Đường Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 78 m²," 29,23 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,, Căn góc,"2,28 tỷ- 78 m2đ"
"số 17, số 17 Đường Tên Lửa, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 53 m²," 39,62 triệu/m²", 1 phòng, I2,9, 1 phòng, Chung cư, Giấy tờ khác,,,,,,"2,1 tỷ- 53 m2đ"
"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 24,66 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp,,, Căn góc,"1,8 tỷ- 73 m2đ"
"Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 45 m²," 18,22 triệu/m²", 1 phòng,,, 1 phòng," Căn hộ dịch vụ, mini", Giấy tờ khác,, Nội thất cao cấp,,,,820 triệu- 45 m2đ
"Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 40 m²," 24,75 triệu/m²", 1 phòng,,, 1 phòng," Căn hộ dịch vụ, mini",,,,,,,990 triệu- 40 m2đ
"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh", Chưa bàn giao, 62 m²," 12,9 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,, Nội thất cao cấp,, Nam,,800 triệu- 62 m2đ
"307-309 Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 34 m²," 26,03 triệu/m²", 1 phòng,,3, 1 phòng, Duplex, Giấy tờ khác,, Nội thất cao cấp,,,,885 triệu- 34 m2đ
"Đường Ngô Bệ, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh", Đã bàn giao, 50 m², 14 triệu/m², 2 phòng,,, 1 phòng, Chung cư, Đã có sổ,,,,,,700 triệu- 50 m2đ
"Khu dân cư 13C, Khu dân cư 13C Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 72 m²," 27,08 triệu/m²", 2 phòng, T2,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,,"1,95 tỷ- 72 m2đ"
"Đường Trương Quốc Dung, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh", Đã bàn giao, 76 m²," 62,5 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"4,75 tỷ- 76 m2đ"
"Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 75 m²," 30,67 triệu/m²", 2 phòng, A,6, 2 phòng, Chung cư, Đã có sổ, A4.06, Hoàn thiện cơ bản,,,,"2,3 tỷ- 75 m2đ"
"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh", Chưa bàn giao, 48 m²," 29,17 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,"1,4 tỷ- 48 m2đ"
"Đường Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 194 m²," 36,08 triệu/m²", 3 phòng,,, 3 phòng, Penthouse, Đã có sổ,, Nội thất cao cấp, Nam, Tây Bắc, Căn góc,7 tỷ- 194 m2đ
"Đường Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 54 m²," 45,37 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,, Căn góc,"2,45 tỷ- 54 m2đ"
"Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 97.6 m²," 50,52 triệu/m²", 3 phòng, D,6, 2 phòng, Chung cư, Đã có sổ, D6.1, Nội thất cao cấp,,,,"4,9 tỷ- 97.6 m2đ"
"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 75 m²," 34,4 triệu/m²", 2 phòng,2,5, 2 phòng, Chung cư, Giấy tờ khác,17,, Đông Nam, Đông Nam,,"2,58 tỷ- 75 m2đ"
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 25 m²," 34,8 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,"870 triệu
GIÁ TỐT
- 25 m2đ"
"Đường Thạnh Lộc 8, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh", Chưa bàn giao, 62 m²," 38,71 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp,,, Căn góc,"2,4 tỷ- 62 m2đ"
"Đường D1, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 77 m²," 39,61 triệu/m²", 2 phòng, F,, 2 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ, Bắc, Nam,,"3,05 tỷ- 77 m2đ"
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 75 m²," 36,67 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,, Tây, Đông,,"2,75 tỷ- 75 m2đ"
"Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 41 m²," 23,9 triệu/m²", 1 phòng,,, 1 phòng, Duplex,,,,,,,980 triệu- 41 m2đ
"bình long, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 43 m²," 13,49 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây, Đông, Căn góc,580 triệu- 43 m2đ
"Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 150 m²," 18,67 triệu/m²", 3 phòng,,15, 4 phòng, Chung cư, Đang chờ sổ,,,,, Căn góc,"2,8 tỷ- 150 m2đ"
"33, 33 Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh", Đã bàn giao, 132 m²," 27,65 triệu/m²", 4 phòng,,6, 3 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ, Tây Bắc, Đông Nam, Căn góc,"3,65 tỷ- 132 m2đ"
"KDC Bình Trưng Đông, Phường Bình Trưng Đông, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 30,82 triệu/m²", 2 phòng,,17,, Chung cư, Đã có sổ,,,,, Căn góc,"2,25 tỷ- 73 m2đ"
"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 77 m²," 71,43 triệu/m²", 2 phòng,6,24, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,,"5,5 tỷ- 77 m2đ"
"Khu đô thị Sala, Phường An Lợi Đông, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 92 m²," 77,17 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,, Tây Bắc, Đông Nam,,"7,1 tỷ- 92 m2đ"
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 106 m²," 36,79 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,"3,9 tỷ- 106 m2đ"
"Đường Song Hành, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 75 m², 38 triệu/m², 2 phòng, A,, 2 phòng, Chung cư, Giấy tờ khác,, Nội thất đầy đủ, Đông Nam, Tây Bắc,,"2,85 tỷ- 75 m2đ"
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 43,15 triệu/m²", 2 phòng, B,22, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,, Nam,,"3,15 tỷ- 73 m2đ"
"Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 55 m²," 42,91 triệu/m²", 1 phòng, B1,, 1 phòng, Chung cư, Đang chờ sổ,, Bàn giao thô, Tây Bắc, Đông Nam, Căn góc,"2,36 tỷ- 55 m2đ"
"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 74.9 m²," 48,65 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Nam,,,"3,6 tỷ- 74.9 m2đ"
"Số 181, Số 181 Đường Cao Thắng, Phường 12, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 70 m²," 41,43 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,"2,9 tỷ- 70 m2đ"
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh", Chưa bàn giao, 65 m²," 51,54 triệu/m²", 2 phòng,,,, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,,"3,35 tỷ- 65 m2đ"
"Đường Hiệp Bình, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 56 m²," 7,13 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,,,,399 triệu- 56 m2đ
"Đường Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh", Đã bàn giao, 32 m²," 9,06 triệu/m²", 1 phòng,,, 1 phòng," Căn hộ dịch vụ, mini",,,,,,,290 triệu- 32 m2đ
"Đường Hà Duy Phiên, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh", Đã bàn giao, 40 m², 16 triệu/m², 2 phòng, khu b khu công nghiệp,2, 2 phòng," Căn hộ dịch vụ, mini", Giấy tờ khác,2, Nội thất đầy đủ,,,,640 triệu- 40 m2đ
"Đường Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 194 m²," 36,08 triệu/m²", 3 phòng,,, 3 phòng, Penthouse, Đã có sổ,, Nội thất cao cấp, Nam, Tây Bắc, Căn góc,7 tỷ- 194 m2đ
"90A, 90A Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 89 m²," 64,04 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,, Đông Nam,, Căn góc,"5,7 tỷ- 89 m2đ"
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 25 m²," 34,8 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,"870 triệu
GIÁ TỐT
- 25 m2đ"
"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 75 m²," 34,4 triệu/m²", 2 phòng,2,5, 2 phòng, Chung cư, Giấy tờ khác,17,, Đông Nam, Đông Nam,,"2,58 tỷ- 75 m2đ"
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 72.25 m²," 29,17 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,, Căn góc,"2,1 tỷ- 72.25 m2đ"
"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 80 m²," 33,75 triệu/m²", 2 phòng, C,, 2 phòng, Chung cư, Đang chờ sổ,,,,, Căn góc,"2,7 tỷ- 80 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 46 m²," 36,02 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,, Tây Bắc, Đông Nam,,"1,657 tỷ- 46 m2đ"
"686, 686 Đường Xô Viết Nghệ Tĩnh Bình Thạnh, Tp. Hồ Chí Minh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 89 m²," 38,2 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"3,4 tỷ- 89 m2đ"
"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 32 m²," 52,81 triệu/m²", 1 phòng,,, 1 phòng, Officetel, Đã có sổ,,,,,,"1,69 tỷ- 32 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Chưa bàn giao, 47 m²," 7,45 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,,,,,,350 triệu- 47 m2đ
"Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Chưa bàn giao, 101 m², 485.148 đ/m², 2 phòng,1,, 2 phòng, Chung cư, Giấy tờ khác,, Nội thất cao cấp,,, Căn góc,49 triệu- 101 m2đ
"đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh", Đã bàn giao, 120 m²," 33,33 triệu/m²", 2 phòng,,1, 2 phòng, Penthouse, Đang chờ sổ,, Nội thất đầy đủ, Đông Bắc, Tây Nam,,4 tỷ- 120 m2đ
"265-197, 265-197 Đường số 9A, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 82 m²," 48,78 triệu/m²", 3 phòng, Block N,5, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Đông Bắc, Tây Nam, Căn góc,4 tỷ- 82 m2đ
"Centana Thủ Thiêm, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 44 m²," 44,32 triệu/m²", 1 phòng, a,6, 1 phòng, Officetel, Đã có sổ,, Nội thất đầy đủ, Đông Nam, Tây Bắc,,"1,95 tỷ- 44 m2đ"
"Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh", Chưa bàn giao, 56 m²," 23,21 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Giấy tờ khác,,, Đông Nam,,,"1,3 tỷ- 56 m2đ"
"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 56 m²," 7,13 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản,,, Căn góc,399 triệu- 56 m2đ
"Đường Xa Lộ Hà Nội, Phường Hiệp Phú, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 56 m²," 35,71 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,,2 tỷ- 56 m2đ
"Đường số 1, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 67 m²," 36,57 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"2,45 tỷ- 67 m2đ"
"312, 312 Đường Nguyễn Thượng Hiền, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh", Đã bàn giao, 109 m²," 41,74 triệu/m²", 3 phòng,,3, 3 phòng, Chung cư, Đã có sổ, 304cc,,,,,"4,55 tỷ- 109 m2đ"
"Đường Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 107 m²," 158,88 triệu/m²", 3 phòng,,, 2 phòng, Duplex,,,,,,,17 tỷ- 107 m2đ
"Số 9, Số 9 Đường Nguyễn Khoái, Phường 1, Quận 4, Tp Hồ Chí Minh", Đã bàn giao, 49 m²," 55,1 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ, Tây Bắc, Đông Nam,,"2,7 tỷ- 49 m2đ"
"Số 1472, Số 1472 Đường Võ Văn Kiệt, Phường 3, Quận 6, Tp Hồ Chí Minh", Đã bàn giao, 52 m²," 50,96 triệu/m²", 1 phòng, A,, 1 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp,,,,"2,65 tỷ- 52 m2đ"
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 68 m²," 35,59 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông Nam, Tây Bắc,,"2,42 tỷ- 68 m2đ"
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh", Chưa bàn giao, 66 m²," 31,82 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,, Đông,,,"2,1 tỷ- 66 m2đ"
"Đường Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 65 m²," 39,23 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"2,55 tỷ- 65 m2đ"
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 72.25 m²," 29,17 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,, Căn góc,"2,1 tỷ- 72.25 m2đ"
"Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 97.6 m²," 50,52 triệu/m²", 3 phòng, D,6, 2 phòng, Chung cư, Đã có sổ, D6.1, Nội thất cao cấp,,,,"4,9 tỷ- 97.6 m2đ"
"Đường Song Hành, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 75 m²," 33,6 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,"2,52 tỷ- 75 m2đ"
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 29,03 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Đông,,"1,8 tỷ- 62 m2đ"
"Khu nhà ở Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 61 m²," 21,15 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,, Tây Bắc, Đông Nam,,"1,29 tỷ- 61 m2đ"
"Đường Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 65 m²," 39,23 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"2,55 tỷ- 65 m2đ"
"Số 200, Số 200 đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 77 m²," 18,18 triệu/m²", 2 phòng, Orchid 1,, 2 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,,"1,4 tỷ- 77 m2đ"
"Đường 9, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 170 m²," 35,29 triệu/m²", 4 phòng,,, 2 phòng, Penthouse,,,, Tây, Đông,,6 tỷ- 170 m2đ
"Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh", Đã bàn giao, 36 m²," 23,06 triệu/m²", 2 phòng, B,5, 1 phòng, Chung cư, Giấy tờ khác,, Nội thất đầy đủ,,, Căn góc,830 triệu- 36 m2đ
"Đường 13, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 56 m²," 23,21 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Giấy tờ khác,,,,,,"1,3 tỷ- 56 m2đ"
"Đường Mai Chí Thọ, Phường Bình Khánh, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 70 m², 971.428 đ/m², 2 phòng,,, 2 phòng, Chung cư,,,,,,,68 triệu- 70 m2đ
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh", Chưa bàn giao, 57 m²," 40,35 triệu/m²", 2 phòng,3,11, 1 phòng, Chung cư,,, Nội thất đầy đủ, Đông,,,"2,3 tỷ- 57 m2đ"
"Số 102, Số 102 Đường Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 67.4 m²," 35,82 triệu/m²", 2 phòng, A,15, 2 phòng, Chung cư, Đang chờ sổ,9,, Đông Bắc, Tây Nam,,"2,4 tỷ- 67.4 m2đ"
"Quốc lộ 1k, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 60 m², 36 triệu/m², 2 phòng,,, 2 phòng, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản,,,,"2,16 tỷ- 60 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 50 m², 37 triệu/m², 1 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,,,,"1,85 tỷ- 50 m2đ"
"49, 49 Đường Lê Quang Kim, Phường 8, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 57 m²," 49,12 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,,,,"2,8 tỷ- 57 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 69 m²," 32,61 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"2,25 tỷ- 69 m2đ"
"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 58 m²," 29,31 triệu/m²", 2 phòng, A,, 2 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Tây Bắc, Đông Nam,,"1,7 tỷ- 58 m2đ"
"quốc lộ 13, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 56 m²," 6,25 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,, Căn góc,350 triệu- 56 m2đ
"Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 30 m²," 36,67 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,,,,,,"1,1 tỷ- 30 m2đ"
"262/13, 262/13 Đường Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 71 m²," 29,58 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,, Căn góc,"2,1 tỷ- 71 m2đ"
"Nguyễn văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh", Đã bàn giao, 40 m²," 3,88 triệu/m²", 1 phòng,,, 1 phòng," Căn hộ dịch vụ, mini", Đã có sổ,, Nội thất đầy đủ,,,,155 triệu- 40 m2đ
"Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh", Chưa bàn giao, 59 m²," 37,29 triệu/m²", 2 phòng, Mekong,19, 2 phòng, Chung cư, Giấy tờ khác,, Nội thất đầy đủ, Tây Bắc, Đông Nam, Căn góc,"2,2 tỷ- 59 m2đ"
"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 70 m²," 35,71 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,"2,5 tỷ- 70 m2đ"
"Đường Tô Ngọc Vân, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 77 m²," 24,29 triệu/m²", 3 phòng,,, 2 phòng, Chung cư,,,,,,,"1,87 tỷ- 77 m2đ"
"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 73 m², 50 triệu/m², 2 phòng,,, 2 phòng, Chung cư,,,,,,,"3,65 tỷ- 73 m2đ"
"Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 40,32 triệu/m²", 2 phòng,,7, 2 phòng, Chung cư, Đã có sổ,707, Nội thất cao cấp, Tây Bắc, Đông Nam,,"2,5 tỷ- 62 m2đ"
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 53 m²," 28,3 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đã có sổ,,,,,,"1,5 tỷ- 53 m2đ"
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 68 m²," 23,53 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông, Tây,,"1,6 tỷ- 68 m2đ"
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 25 m²," 34,8 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,"870 triệu
GIÁ TỐT
- 25 m2đ"
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 55 m², 30 triệu/m², 2 phòng,,, 1 phòng, Chung cư, Đã có sổ,,,,,,"1,65 tỷ- 55 m2đ"
"Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh", Chưa bàn giao, 87 m²," 22,62 triệu/m²", 2 phòng, B,24, 2 phòng, Duplex, Giấy tờ khác,, Hoàn thiện cơ bản, Tây Bắc, Đông Nam,,"1,968 tỷ- 87 m2đ"
"Đường 18, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 150 m²," 46,67 triệu/m²", 4 phòng,,, 3 phòng," Căn hộ dịch vụ, mini", Đã có sổ,, Bàn giao thô, Tây Nam, Tây Nam,,7 tỷ- 150 m2đ
